Name,ParentOrg,OrgID,Address
Central Highlands Campus,Central Queensland Institute of TAFE,6398,Capricorn Highway EMERALD QLD 4720 AUSTRALIA
Central Northern Regional Library,Central Northern Libraries,563,466 Peel Street TAMWORTH NSW 2340 AUSTRALIA
Central Queensland University: Institutional Repository,Rockhampton Campus Library,334838,Building 10 - Library ROCKHAMPTON QLD 4702 AUSTRALIA
Central Sydney GP Network Ltd Library,Sydney Local Health District,5568,Level 1 158 Liverpool Road ASHFIELD NSW 2131 AUSTRALIA
Central Victorian Regional Insect Collection,Insectarium of Victoria;Victorian Institute of Invertebrate Sciences,9153,9 BANKSIA COURT WOODEND VIC 3442 AUSTRALIA
Central Victorian Regional Insect Collection Reference Library,,343982,9 Banksia Court WOODEND VIC 3442 AUSTRALIA
Central Western Music Library,,8117,Court House Building Russell Street BATHURST NSW 2745 AUSTRALIA
Centralian Middle School Library,Centralian Middle School,3698,56 Milner Road ALICE SPRINGS NT 0870 AUSTRALIA
Centre de Ressources,Alliance Francaise de Canberra,9588,66 McCaughey Street TURNER ACT 2612 AUSTRALIA
Centre for Automotive Safety Research Library,Centre for Automotive Safety Research,7940,"Engineering Annex, University of Adelaide Frome Road ADELAIDE SA 5005 AUSTRALIA"
Centre for Comparative Constitutional Studies,The University of Melbourne,81001,Centre for Comparative Constitutional Studies Melbourne Law School The University of Melbourne VIC 3010 AUSTRALIA
Centre for Culture Ethnicity and Health (CEH) Information Services,Centre for Culture Ethnicity and Health (CEH),7381,81-85 Barry Street CARLTON VIC 3053 AUSTRALIA
Centre for Education Statistics and Evaluation,NSW Department of Education,1877,"Alla Feigelson, CESE Level 9, 105 Phillip Street, PARRAMATTA NSW 2150 AUSTRALIA"
Centre for Rural and Remote Mental Health Library,Centre for Rural and Remote Mental Health,18895,c/- Bloomfield Hospital Forrest Road ORANGE NSW 2800 AUSTRALIA
Cerdon College Library,Cerdon College,9381,Cnr Sherwood Road & Kenyons Road MERRYLANDS NSW 2160 AUSTRALIA
Cervantes Public Library,Shire of Dandaragan Libraries,5072,Community Recreation Centre Aragon Street CERVANTES WA 6511 AUSTRALIA
Cessnock City Library,Cessnock City Council,6514,65-67 Vincent Street CESSNOCK NSW 2325 AUSTRALIA
Cessnock High School Library,Cessnock High School,8195,Aberdare Road CESSNOCK NSW 2325 AUSTRALIA
Cessnock Library,TAFE NSW,3882,Darwin Street CESSNOCK NSW 2325 AUSTRALIA
Chalk & Fitzgerald Library,,329097,Level 9 23 Hunter Street Sydney NSW 2000 AUSTRALIA
Chamber of Commerce and Industry Library,Northern Territory Chamber of Commerce and Industry,4660,Suite 5/2 Shepherd St DARWIN NT 0800 AUSTRALIA
Chapman Primary School Library,Chapman Primary School,5589,Perry Drive CHAPMAN ACT 2611 AUSTRALIA
Chapman Valley Historical Society,,342684,100 East Terrace NANSON WA 6532 AUSTRALIA
Charles Darwin University: Digital Collection,Charles Darwin University,343601,Ellengowan Drive CASUARINA NT 0909 AUSTRALIA
Charles Rasp Memorial Library,Broken Hill City Council,9846,Blende Street BROKEN HILL NSW 2880 AUSTRALIA
Charles Sturt Memorial Museum Library,Charles Sturt Memorial Museum Trust Inc.,6775,Sturt House Jetty Street GRANGE SA 5022 AUSTRALIA
Charles Sturt University,,16834,Building 1412 Panorama Avenue BATHURST NSW 2795 AUSTRALIA
Charles Sturt University Regional Archives,Charles Sturt University,12828,Blakemore Building Hely Avenue WAGGA WAGGA NSW 2678 AUSTRALIA
"Charlestown Library, walyamayi",Lake Mac Libraries,5378,Corner of Smith & Ridley Streets CHARLESTOWN NSW 2290 AUSTRALIA
Charleville & District Historical Society Inc.,Charleville Historic House Museum,8483,Alfred Street CHARLEVILLE QLD AUSTRALIA
Charleville & District Historical Society Inc. Library,Charleville and District Historical Society,6055,87 Alfred Street CHARLEVILLE QLD 4470 AUSTRALIA
Charleville Public Library,Murweh Shire Council Libraries,6057,69 Edward Street CHARLEVILLE QLD 4470 AUSTRALIA
Charlton Golden Grain Museum Library,Charlton Golden Grain Museum,8338,1 High Street CHARLTON VIC 3525 AUSTRALIA
Charters Towers Central State School Library,Charters Towers Central State School,16735,PO Box 64 CHARTERS TOWERS QLD 4820 AUSTRALIA
Charters Towers Regional Council Excelsior Library,Charters Towers Regional Council,9804,130 Gill Street CHARTERS TOWERS QLD 4820 AUSTRALIA
Chatswood Central Library,Willoughby City Library,9200,"Lower Ground, The Concourse 409 Victoria Avenue CHATSWOOD NSW 2067 AUSTRALIA"
Chatswood Library,Tetra Tech Coffey Pty Ltd,2413,Level 19 Tower B Citadel Tower 799 Pacific Highway CHATSWOOD NSW 2067 AUSTRALIA
Chelsea & District Historical Society Book Collection,Chelsea and District Historical Society Inc.,4375,The Courthouse The Strand CHELSEA VIC 3196 AUSTRALIA
Chelsea Court House Museum Library,Chelsea Court House Museum,8480,The Strand CHELSEA VIC AUSTRALIA
Chelsea Library,Kingston Information and Library Service,7429,1 Chelsea Street CHELSEA VIC 3196 AUSTRALIA
Chelsea and District Historical Society Inc.,,9960,Court House Museum The Strand CHELSEA VIC 3196 AUSTRALIA
Cheltenham Girls High School Library,Cheltenham Girls High School,7262,The Promenade CHELTENHAM NSW 2119 AUSTRALIA
Cheltenham Library,Kingston Information and Library Service,7426,12 Stanley Avenue CHELTENHAM VIC 3192 AUSTRALIA
Chemistry Branch Library,Australian National University Library,5041,Arthur Birch Building (#35) Australian National University CANBERRA ACT 0200 AUSTRALIA
Chermside Library,Brisbane City Council Library Service,3904,375 Hamilton Road CHERMSIDE QLD 4032 AUSTRALIA
Cherrybrook Technology High School Library,Cherrybrook Technology High School,7901,Purchase Road CHERRYBROOK NSW 2126 AUSTRALIA
Chester Hill Library,Canterbury Bankstown Library Service,4779,12 Chester Hill Road CHESTER HILL NSW 2162 AUSTRALIA
Chevalier College Library,Chevalier College,1604,Moss Vale Road BURRADOO NSW 2576 AUSTRALIA
Chevron Australia Library,Chevron Australia Pty Ltd,4162,"CHEVRON AUSTRALIA LIBRARY L22, QV1 - 250 ST. GEORGES TCE PERTH WA 6000 AUSTRALIA"
Chief Technology Office,Telstra Corporation Limited,7864,Information Sepcialist Chief Technology Office Telstra Level 3 35 Collins Street Melbourne VIC 3000 AUSTRALIA
Child and Adolescent Health Service Medical Library,Child and Adolescent Health Service,1981,"Perth Children's Hospital, Level 4 15 Hospital Avenue NEDLANDS WA 6009 AUSTRALIA"
Childers Library,Bundaberg Regional Libraries,9161,49 Churchill Street CHILDERS QLD 4660 AUSTRALIA
Children by Choice Library,Children By Choice Association Inc.,5236,237 Lutwyche Road WINDSOR QLD 4030 AUSTRALIA
Children's Health Queensland Library,,342800,Stanley Street SOUTH BRISBANE QLD 4101 AUSTRALIA
Children's Hospital School Library,Children's Hospital School,10789,76 King William Road NORTH ADELAIDE SA 5006 AUSTRALIA
Chillagoe Library,Mareeba Shire Council,6250,"Chillagoe Hub 21-23 Queen Street, CHILLAGOE QLD 4871 AUSTRALIA"
Chiltern Athenaeum Trust Library,Chiltern Athenaeum Trust,4713,57 Conness Street CHILTERN VIC 3683 AUSTRALIA
Chiltern Library,Indigo Shire Libraries,6363,Conness Street CHILTERN VIC 3683 AUSTRALIA
Chilwell Library,Geelong Regional Library Corporation,8760,Russell Street NEWTOWN VIC 3220 AUSTRALIA
Chinchilla Library,Western Downs Libraries,4991,80-86 Heeney Street CHINCHILLA QLD 4413 AUSTRALIA
Chinese Australian Historical Images in Australia,Museum of Chinese Australian History,337497,22 Cohen Place Melbourne VIC 3000 AUSTRALIA
Chinese Theological College Australia,,331017,79 Shaftesbury Road Burwood NSW 2134 AUSTRALIA
Chisholm Institute,,12849,"ILL Chisholm Institute Library, Berwick Campus PO Box 684 DANDENONG VIC 3175 AUSTRALIA"
Chisholm Primary School Resource Centre,Chisholm Primary School,16056,Hambidge Cres CHISHOLM ACT 2905 AUSTRALIA
Christ Church Anglican Parish of Warrnambool,,336116,230 Koroit Street Corner of Koroit Street and Henna Street Warrnambool VIC AUSTRALIA
Christ Church Grammar School Library,Christ Church Grammar School,8493,Queenslea Drive CLAREMONT WA 6010 AUSTRALIA
Christ College Library,Christ College (Tas.),968,College Road SANDY BAY TAS 7005 AUSTRALIA
Christ College Library (NSW),Christ College (NSW),337238,1 Clarence St BURWOOD NSW 2134 AUSTRALIA
Christ the Lord Slovak Lutheran Congregation Library,Christ the Lord Slovak Lutheran Congregation,11442,72-74 Point Cook Road SEABROOK VIC 3028 AUSTRALIA
Christ the Priest Library,Vianney College,109104,8 Benedict Avenue Wagga Wagga NSW 2650 AUSTRALIA
Christian Heritage College Library,Christian Heritage College,26,322 Wecker Road MANSFIELD QLD 4122 AUSTRALIA
Christian Revival Crusade Library,Christian Resource Centre,4235,316-322 Kingston Road HEATHERTON VIC 3202 AUSTRALIA
Christian Services for the Blind and Hearing Impaired,Christian Services for the Blind,4248,Fox Valley Road WAHROONGA NSW 2076 AUSTRALIA
Christmas Island Public Library,Shire of Christmas Island,10648,PO Box 863 Christmas Island INDIAN OCEAN WA 6798 CHRISTMAS ISLAND
Christopher Brennan Library,"Saint Ignatius' College, Riverview",2140,Christopher Brennan Library Tambourine Bay Rd LANE COVE NSW 2066 AUSTRALIA
Christopher Tudor Bicentennial Library and Resource Centre,St Philip's College,6099,Schwarz Crescent ALICE SPRINGS NT AUSTRALIA
Chullora TAFE Library,TAFE NSW,6195,"Block C, Room 12 12 Muir Road CHULLORA NSW 2190 AUSTRALIA"
Churchill Island Heritage Farm,,335979,1 Samuel Amess Drive Newhaven VIC AUSTRALIA
Churchill Library,Latrobe City Library,7508,Churchill Library 9-11 Phillip Parade CHURCHILL VIC 3842 AUSTRALIA
Citipointe Christian College,,330517,CARINDALE QLD 4152 AUSTRALIA
"City Campus, Blake Library",University Library,8109,Corner of Quay Street & Ultimo Road ULTIMO NSW 2007 AUSTRALIA
City East Campus Library,University of South Australia,5806,University of South Australia North Terrace ADELAIDE SA 5000 AUSTRALIA
City Library,City of Darwin,9789,Civic Centre Harry Chan Avenue DARWIN NT 0800 AUSTRALIA
City Library,City of Darwin Libraries,339081,GPO Box 84 DARWIN NT 0801 AUSTRALIA
City Library,Cairns Regional Council: Cairns Libraries,11833,151 ABBOTT ST CAIRNS QLD 4870 AUSTRALIA
City Library,City of Melbourne Libraries,262897,253 Flinders Lane MELBOURNE VIC 3000 AUSTRALIA
City Park Radio Museum Library,City Park Radio Museum,6043,43 Tamar st LAUNCESTON TAS 7250 AUSTRALIA
City Projects Office,Brisbane City Council,334197,"Level 1, Green Square 502-505 St Paul's Terrace FORTITUDE VALLEY QLD 4006 AUSTRALIA"
City West Campus Library,University of South Australia,5809,University of South Australia Library 217-243 Hindley Street ADELAIDE SA 5000 AUSTRALIA
City of Ballarat Libraries Outreach,Central Highlands Libraries,336957,PO Box 655 Ballarat VIC 3350 AUSTRALIA
City of Boroondara Library Service,,12877,Hawthorn Library 584 Glenferrie Road HAWTHORN VIC 3122 AUSTRALIA
City of Canada Bay Library Service,City of Canada Bay,20537,City of Canada Bay Council Library Service 60 Flavelle Street CONCORD NSW 2137 AUSTRALIA
City of Darwin Libraries,City of Darwin,9786,17 Bradshaw Terrace CASUARINA NT 0810 AUSTRALIA
City of Fremantle: Fremantle Library,,9693,151 High Street FREMANTLE WA 6160 AUSTRALIA
City of Gold Coast Corporate Library,City of Gold Coast Libraries,328697,135 Bundall Rd SURFERS PARADISE QLD 4217 AUSTRALIA
City of Gold Coast Libraries,,8741,QLD AUSTRALIA
City of Gosford Art Collection Library,City of Gosford Art Collection,3941,36 Webb St GOSFORD NSW 2250 AUSTRALIA
City of Greater Geraldton Regional Library,,4340,37 Marine Terrace GERALDTON WA 6530 AUSTRALIA
City of Melbourne Libraries,,20176,253 Flinders Lane Melbourne VIC 3000 AUSTRALIA
City of Melbourne Libraries online Heritage Collection,City of Melbourne Libraries,341143,"Manager Creative Cities, City of Melbourne GPO Box 1603 MELBOURNE VIC 3001 AUSTRALIA"
City of Melville Libraries,City of Melville,331437,PLEASE REFER TO OUR BRANCH LIBRARIES 10 Almondbury Road Booragoon WA 6154 AUSTRALIA
City of Norwood Payneham and St Peters Library Service,,325517,101 Payneham Rd St Peters SA 5069 AUSTRALIA
City of PAE Libraries,,5102,2-4 Church Street PORT ADELAIDE SA 5015 AUSTRALIA
City of Parramatta Libraries,Parramatta City Council,8104,1-3 Fitzwilliam Street PARRAMATTA NSW 2150 AUSTRALIA
City of Perth Library,City of Perth,2231,573 Hay Street PERTH WA 6000 AUSTRALIA
City of South Perth Local History Collection,,343101,Cnr Sandgate Street and South Terrace SOUTH PERTH WA 6151 AUSTRALIA
City of Stirling Libraries,,10187,Please consult one of our branch entries Stirling WA AUSTRALIA
City of Sydney Archives,,16378,"Level 21, Town Hall House 456 Kent St SYDNEY NSW 2000 AUSTRALIA"
City of Sydney Library,,474,GPO Box 1591 SYDNEY NSW 2001 AUSTRALIA
City of Tea Tree Gully Library,City of Tea Tree Gully,9526,571 Montague Road MODBURY SA 5092 AUSTRALIA
City of Vincent Library,City of Vincent,7608,City of Vincent Library 99 Loftus Street LEEDERVILLE WA 6007 AUSTRALIA
City of Wanneroo Museum,,344102,3 Rocca Way WANNEROO WA 6065 AUSTRALIA
City of West Torrens Public Library Service,,12907,1 Brooker Terrace HILTON SA 5033 AUSTRALIA
City of Whittlesea,,336228,25 Ferres Boulevard South Morang VIC AUSTRALIA
Citylibraries Aitkenvale,Townsville Citylibraries,6867,4 Petunia Street AITKENVALE QLD 4814 AUSTRALIA
Citylibraries Flinders Street,Townsville Citylibraries,7660,Level 1 Northtown 280 Flinders Street TOWNSVILLE QLD 4810 AUSTRALIA
Citylibraries Riverway,Townsville Citylibraries,9254,20 Village Boulevard Thuringowa Central TOWNSVILLE QLD 4817 AUSTRALIA
Civic Library,Libraries ACT,237457,Civic Square City ACT 2600 AUSTRALIA
Civic Library,Charles Sturt Library Service,2392,72 Woodville Road WOODVILLE SA 5011 AUSTRALIA
Civic Square Library,City of Melville,5268,10 Almondbury Road BOORAGOON WA 6154 AUSTRALIA
Civica,,333937,5/565 Bourke St MELBOURNE VIC 3000 AUSTRALIA
Civil Aviation Historical Society & Airways Museum,,344223,Building 44 Suite 1 Edgar Johnstone Lane ESSENDON FIELDS VIC 3041 AUSTRALIA
Civil Aviation Safety Authority Library (CASA),,328797,"'Aviation House' Level 4, 16 Furzer Street PHILLIP ACT 2606 AUSTRALIA"
Civil Service Association of WA Library,Civil Service Association of Western Australia,6047,Level 5 445 Hay Street PERTH WA 6000 AUSTRALIA
Clare Historical Collection,Clare and Gilbert Valleys Council Library Service,339579,229 Main North Road CLARE SA 5453 AUSTRALIA
Clare Library,Clare and Gilbert Valleys Council Library Service,6659,33 Old North Road CLARE SA 5453 AUSTRALIA
Claremont College Library,Claremont College,5462,Link Road CLAREMONT TAS 7011 AUSTRALIA
Claremont Community Hub & Library,Town of Claremont,6894,327 Stirling Hwy CLAREMONT WA 6010 AUSTRALIA
Claremont Museum,,9965,66 Victoria Avenue CLAREMONT WA AUSTRALIA
Clarence Campus Library,TasTAFE Libraries,6207,Bounty Street WARRANE TAS 7018 AUSTRALIA
Clarence Regional Library Headquarters,Clarence Regional Library,6171,126 - 144 Pound Street GRAFTON NSW 2460 AUSTRALIA
Clarence River Historical Society Inc,Clarence River Historical Society,8793,190 Fitzroy Street GRAFTON NSW 2460 AUSTRALIA
Clarinda Library,Kingston Information and Library Service,7430,58 Viney Street CLARINDA VIC 3169 AUSTRALIA
Clarke & Kann Library,Clarke and Kann Lawyers,6042,300 Queen Street BRISBANE QLD 4000 AUSTRALIA
Clarkson Library,City of Wanneroo Libraries,119438,27 Ocean Keys Boulevard Clarkson WA 6030 AUSTRALIA
Clayfield College,,330499,CLAYFIELD QLD 4011 AUSTRALIA
Clayton Branch Library,Monash Public Library Service,4956,Cooke Street CLAYTON VIC 3168 AUSTRALIA
Clayton Utz Brisbane Library,Clayton Utz,6002,"Level 28, Riparian Plaza 71 Eagle St BRISBANE QLD 4000 AUSTRALIA"
Clayton Utz Canberra Library,Clayton Utz,5996,"Level 10 NewActon Nishi, 2 Phillip Law Street CANBERRA ACT 2601 AUSTRALIA"
Clayton Utz Melbourne Library,Clayton Utz,6004,18/333 Collins Street MELBOURNE VIC 3000 AUSTRALIA
Clayton Utz Perth Library,Clayton Utz,6003,250 St Georges Terrace PERTH WA 6000 AUSTRALIA
Clayton Utz Sydney Library,Clayton Utz,6005,1 Bligh Street SYDNEY NSW 2000 AUSTRALIA
Clayton Willington Library,Central Gippsland Health Service,9134,155 Guthridge Parade SALE VIC 3850 AUSTRALIA
Cleary Hoare Library,Cleary Hoare (Solicitors),6034,11 Commercial Road Newstead QLD 4006 AUSTRALIA
Clermont Library,Isaac Regional Council,80,Cnr of Karmoo and Herschel Street CLERMONT QLD 4721 AUSTRALIA
Cleve School Community Library,District Council of Cleve,8140,Cleve Area School Second Street CLEVE SA 5640 AUSTRALIA
Cleveland Library,Redland City Council Libraries,4203,Corner of Bloomfield and Middle Streets CLEVELAND QLD 4163 AUSTRALIA
Clifton Hills PS Library,Clifton Hills Primary School,9106,Connell Avenue KELMSCOTT WA 6111 AUSTRALIA
Clifton Library,Toowoomba Region Libraries,7548,Meara Place CLIFTON QLD 4361 AUSTRALIA
Clinical Information & Resources Service,UnitingCare Health,5389,The Wesley Hospital 451 Coronation Drive AUCHENFLOWER QLD 4066 AUSTRALIA
Clinical Knowledge Resources,Department of Health (Queensland Health),4890,"6th Floor, Queensland Health Building 147-163 Charlotte Street BRISBANE QLD 4000 AUSTRALIA"
Clinical Library,University of Tasmania,2281,"Ground Floor, Clinical School 43 Collins Street HOBART TAS 7000 AUSTRALIA"
Clinical Library,Joondalup Health Campus,8574,Shenton Avenue JOONDALUP WA 6027 AUSTRALIA
"Clinical Library, Bankstown-Lidcombe Hospital",South Western Sydney Local Health District,9721,Level 4 Eldridge Road BANKSTOWN NSW 2200 AUSTRALIA
Clive Steel Library,Clive Steel Partners,2406,740 Glenferrie Road HAWTHORN VIC 3122 AUSTRALIA
Clontarf Beach State High,,330498,CLONTARF QLD 4019 AUSTRALIA
Clough Projects Pty Ltd - Library,Clough Engineering Ltd,8780,Ground Floor 22 Mount Street PERTH WA 6000 AUSTRALIA
Cloverdale Primary School Library,Cloverdale Primary School,9108,180 Fisher Street Cloverdale PERTH WA 6105 AUSTRALIA
Clunes Library,Central Highlands Libraries,3591,36 Fraser Street CLUNES VIC 3370 AUSTRALIA
Clunes Tourist Complex and Bottle Museum Library,Clunes Tourist Complex and Bottle Museum,1985,70 Bailey Street CLUNES VIC 3370 AUSTRALIA
"Co.As.It. Italian Historical Society & Museo Italiano, Melbourne",Co.As.It. Italian Assistance Association,330997,189 Faraday Street Carlton VIC 3053 AUSTRALIA
"Co.As.It. Italian Language, Multimedia and Resource Centre",Co.As.It. Italian Assistance Association,6343,"1st Floor, 189 Faraday Street CARLTON VIC 3053 AUSTRALIA"
Coal Creek Community Park & Museum,,335952,1 Silkstone Road Korumburra VIC 3950 AUSTRALIA
Coal Creek Historical Park Library,Coal Creek Historical Park,1079,South Gippsland Highway KORUMBURRA VIC 3950 AUSTRALIA
Cobar Shire & TAFE Library,Cobar Shire Council,4653,39 Marshall Street COBAR NSW 2835 AUSTRALIA
Cobden & District Historical Society,,336233,Cobden & District Historical Society Cobden VIC AUSTRALIA
Cobden Library,Corangamite Moyne Library Service,3603,55 Victoria Street COBDEN VIC 3266 AUSTRALIA
Cobram Secondary College Community Library,Goulburn Valley Libraries,6360,Warkil Street COBRAM VIC 3644 AUSTRALIA
Coburg Historical Society,,336278,P.O. Box 295 Pascoe Vale South VIC 3044 AUSTRALIA
Cochlear Library,Cochlear Ltd,6532,1 University Avenue Macquarie University North Ryde NSW 2109 AUSTRALIA
Cockatoo History & Heritage Group,,336178,PO Box 744 Cockatoo VIC AUSTRALIA
Cockburn Administration,City of Cockburn,121277,9 Coleville Crescent SPEARWOOD WA 6163 AUSTRALIA
Cocos Home Island Public Library,,119439,Unknown Street Cocos island WA 6799 AUSTRALIA
Cocos West Island Public Library,,119440,Cocos (Keeling) Islands Shire Council West Island Cocos (Keeling) Islands WA 6799 AUSTRALIA
Coen Library,Cook Shire Council Libraries,6035,c/- Post Office COEN QLD 4871 AUSTRALIA
Coffin Bay Depot,District Council of Lower Eyre Peninsula,339658,Coffin Bay Hall Corner The Esplanade and Harder Streets COFFIN BAY SA 5606 AUSTRALIA
Coffs Collections,,342160,Cnr of Coff & Duke Streets COFFS HARBOUR NSW 2450 AUSTRALIA
Coffs Harbour Campus Library,TAFE NSW,2899,Glenreagh Street COFFS HARBOUR NSW 2450 AUSTRALIA
Coffs Harbour Christian Community High School Library,Coffs Harbour Christian Community High School,9369,226 Bonville Station Road BONVILLE NSW 2441 AUSTRALIA
Coffs Harbour Education Campus Library,Southern Cross University,6135,Southern Cross University Coffs Harbour Education Campus COFFS HARBOUR NSW 2450 AUSTRALIA
Coffs Harbour Youth Orchestra Library,Coffs Harbour Youth Orchestra,7007,25 Robert Garrett Street COFFS HARBOUR NSW 2450 AUSTRALIA
Cohuna & District Historical Society Inc. Library,Cohuna & District Historical Society Inc.,10782,2A Cullen Street COHUNA VIC 3568 AUSTRALIA
Cohuna Library,Gannawarra Library Service,3622,25 King Edward Street COHUNA VIC 3568 AUSTRALIA
Col Morris Public Library,South Burnett Libraries,7337,Mackenzie Street WONDAI QLD 4606 AUSTRALIA
Colac Library,Geelong Regional Library Corporation,248797,105 Gellibrand Street Colac VIC 3250 AUSTRALIA
Collection,Australian National Maritime Museum,333339,Wharf 7 Maritime Heritage Centre 58 Pirrama Rd PYRMONT NSW 2009 AUSTRALIA
Collections Australia Network,Powerhouse Museum,326977,"Collections Australia Network, Powerhouse Museum Box K346 Haymarket NSW 1238 AUSTRALIA"
Collections WA,,342660,Collections WA WA WA 4000 AUSTRALIA
College of Intensive Care Medicine of Australia and New Zealand,,341700,Suite 101 168 Greville Street PRAHAN VIC 3181 AUSTRALIA
College of Somatic Studies Library,College of Somatic Studies Pty Ltd,6036,College of Somatic Studies Pty Ltd ORMEAU QLD 4208 AUSTRALIA
College of Traditional Therapies (SA) Library,College of Traditional Therapies (SA) Pty Ltd,6040,PO Box 432 ELIZABETH SA 5112 AUSTRALIA
Collie Family History Society Incorporated,Western Australian Genealogical Society Inc.,7160,The Miners Institute Throssell Street COLLIE WA 6225 AUSTRALIA
Collie Public Library,Shire of Collie,4652,Wittenoom Street (cnr Steere Street) COLLIE WA 6225 AUSTRALIA
Collingwood Campus Library,Melbourne Polytechnic,6183,20 Otter Street COLLINGWOOD VIC 3066 AUSTRALIA
Collingwood Library,Yarra Libraries,4381,11 Stanton Street ABBOTSFORD VIC 3067 AUSTRALIA
Collinsville Branch Library,Whitsunday Regional Libraries,3875,Cnr Stanley and Conway Streets COLLINSVILLE QLD 4804 AUSTRALIA
Colonial Insurance Library,Colonial First State,4054,39-49 Martin Place SYDNEY NSW 2000 AUSTRALIA
Commonwealth Journal of Local Governance,University Library,329337,Electronic Resource N/A NSW N/A AUSTRALIA
Communication Aid User Society Library,Communication Aid User Society Inc.,9630,"Unit 4, 3 Tuck Street Moorabbin VIC 3189 AUSTRALIA"
Communications Division Library,"Communications, Electrical and Plumbing Union",2425,"1st Floor, 139-155 Queensberry Street CARLTON VIC 3053 AUSTRALIA"
Community Heritage Collection,Melton City Council,341780,Melton City Libraries PO Box 21 MELTON VIC 3337 AUSTRALIA
Community Resource Unit Library,Community Resource Unit Inc.,8506,"Suite 5B, 19 Lang Parade AUCHENFLOWER QLD 4066 AUSTRALIA"
Community Services Commission Library,Community Services Commission,16460,NSW AUSTRALIA
Community and Oral Health Library,,5753,"Community and Oral Health Library Aspley Community Health Centre, 776 Zillmere Road ASPLEY QLD 4034 AUSTRALIA"
Como Primary School Library,Como Primary School,9110,Thelma Street COMO WA 6152 AUSTRALIA
Como SHS Library,Como Secondary College,9114,Bruce Street COMO WA 6152 AUSTRALIA
Concordia Primary School Library,Concordia Primary School,10934,67 Warwick Street TOOWOOMBA QLD 4350 AUSTRALIA
Conde Library,Pymble Ladies' College,231738,Conde Library Avon Road PYMBLE NSW 2073 AUSTRALIA
Connolly Primary School Library,Connolly Primary School,9115,Fairway Circle CONNOLLY WA 6027 AUSTRALIA
Connor's Mill and Newcastle Gaol Museum,Shire of Toodyay,342710,15 Fiennes Street TOODYAY WA 6566 AUSTRALIA
Conrad and Gargett Library,Conrad and Gargett Pty Ltd,9191,Level 3 283 Elizabeth Street BRISBANE QLD 4000 AUSTRALIA
Conservation Centre Library,Conservation Council of South Australia Inc.,7438,120 Wakefield Street ADELAIDE SA 5000 AUSTRALIA
Conservation Council of WA Library,Conservation Council of Western Australia Inc.,8507,City West Lotteries House 2 Delhi Street West Perth WA 6005 AUSTRALIA
Conservation Volunteers,,336154,Conservation Volunteers Corner University Drive & Enterprise Grove Mount Helen VIC AUSTRALIA
Constitution Hill Library,City of Parramatta Libraries,3624,Emma Crescent Shopping Centre 20 Hollis Street Toongabbie NSW 2145 AUSTRALIA
Consumer Affairs Library,Department of Justice Victoria,4721,25/121 Exhibition Street MELBOURNE VIC 3000 AUSTRALIA
Consumer Protection Library,"Department of Mines, Industry Regulation and Safety",7705,Level 4 140 William Street PERTH WA 6000 AUSTRALIA
Contemporary Art Centre of South Australia Library,Contemporary Art Centre of South Australia,4744,14 Porter Street PARKSIDE SA 5063 AUSTRALIA
Coober Pedy School Community Library,District Council of Coober Pedy,5794,Coober Pedy Area School Paxton Road COOBER PEDY SA 5723 AUSTRALIA
Coodanup SHS Library Resource Centre,Coodanup Senior High School,9182,Wanjeep Road (Cnr Coodanup Drive) COODANUP WA 6210 AUSTRALIA
Cook Centennial Library,,9618,Charlotte Street COOKTOWN QLD 4871 AUSTRALIA
Cooktown Library,Cook Shire Council Libraries,3477,Helen Street COOKTOWN QLD 4895 AUSTRALIA
Coolah Shire Library,Macquarie Regional Library,8858,59 Binnia Street COOLAH NSW 2843 AUSTRALIA
Coolamon Library,Riverina Regional Library,325717,129 Cowabbie Street COOLAMON NSW 2701 AUSTRALIA
Coolangatta Library,City of Gold Coast Libraries,8751,"Level 1, Showcase on the Beach Griffith Street COOLANGATTA QLD 4225 AUSTRALIA"
Coolbellup Public Library,City of Cockburn,4390,90 Cordellia Avenue COOLBELLUP WA 6163 AUSTRALIA
Coolgardie Library,Shire of Coolgardie Libraries,5891,Coolgardie Shire Office Bayley Street COOLGARDIE WA 6429 AUSTRALIA
Coolum Beach Library,Sunshine Coast Libraries,6143,6 Park Street COOLUM BEACH QLD 4573 AUSTRALIA
Cooma Campus Library,TAFE NSW,4026,66 Commissioner Street COOMA NSW 2630 AUSTRALIA
Coomandook Community Library,Coorong District Council,5337,Coomandook Area School Dukes Highway COOMANDOOK SA 5261 AUSTRALIA
Coomera Anglican College,,330538,COOMERA QLD 4209 AUSTRALIA
Coonabarabran Branch Library,Macquarie Regional Library,1330,John Street COONABARABRAN NSW 2357 AUSTRALIA
Coonabarabran Campus Library,TAFE NSW,9443,"Coonabarabran Campus, New England Institute of TAFE Robertson Street COONABARABRAN NSW 2357 AUSTRALIA"
Coonamble Shire Library,North Western Library Service,5472,80 Castlereagh Street COONAMBLE NSW 2829 AUSTRALIA
Coopers Plains Library,Brisbane City Council Library Service,3906,107 Orange Grove Road COOPERS PLAINS QLD 4108 AUSTRALIA
Coorow Library,Coorow Public Library & Information Service,4226,Coorow Administration Centre Main Street COOROW WA 6515 AUSTRALIA
Cootamundra Library,Riverina Regional Library,8839,Wallendoon Street COOTAMUNDRA NSW 2590 AUSTRALIA
Cootharinga Society Library,Cootharinga Society of North Queensland,5747,20Keane st Currajong TOWNSVILLE QLD 4812 AUSTRALIA
